trial,trial_dir,seed_base,trial_seed_master
315,/project/data/scenario1/bootstrap/trial_0315,4869,3154869
316,/project/data/scenario1/bootstrap/trial_0316,4869,3164869
317,/project/data/scenario1/bootstrap/trial_0317,4869,3174869
318,/project/data/scenario1/bootstrap/trial_0318,4869,3184869
319,/project/data/scenario1/bootstrap/trial_0319,4869,3194869
320,/project/data/scenario1/bootstrap/trial_0320,4869,3204869
321,/project/data/scenario1/bootstrap/trial_0321,4869,3214869
322,/project/data/scenario1/bootstrap/trial_0322,4869,3224869
323,/project/data/scenario1/bootstrap/trial_0323,4869,3234869
324,/project/data/scenario1/bootstrap/trial_0324,4869,3244869
325,/project/data/scenario1/bootstrap/trial_0325,4869,3254869
326,/project/data/scenario1/bootstrap/trial_0326,4869,3264869
327,/project/data/scenario1/bootstrap/trial_0327,4869,3274869
328,/project/data/scenario1/bootstrap/trial_0328,4869,3284869
329,/project/data/scenario1/bootstrap/trial_0329,4869,3294869
330,/project/data/scenario1/bootstrap/trial_0330,4869,3304869
331,/project/data/scenario1/bootstrap/trial_0331,4869,3314869
332,/project/data/scenario1/bootstrap/trial_0332,4869,3324869
333,/project/data/scenario1/bootstrap/trial_0333,4869,3334869
334,/project/data/scenario1/bootstrap/trial_0334,4869,3344869
335,/project/data/scenario1/bootstrap/trial_0335,4869,3354869
336,/project/data/scenario1/bootstrap/trial_0336,4869,3364869
337,/project/data/scenario1/bootstrap/trial_0337,4869,3374869
338,/project/data/scenario1/bootstrap/trial_0338,4869,3384869
339,/project/data/scenario1/bootstrap/trial_0339,4869,3394869
340,/project/data/scenario1/bootstrap/trial_0340,4869,3404869
341,/project/data/scenario1/bootstrap/trial_0341,4869,3414869
342,/project/data/scenario1/bootstrap/trial_0342,4869,3424869
343,/project/data/scenario1/bootstrap/trial_0343,4869,3434869
344,/project/data/scenario1/bootstrap/trial_0344,4869,3444869
345,/project/data/scenario1/bootstrap/trial_0345,4869,3454869
346,/project/data/scenario1/bootstrap/trial_0346,4869,3464869
347,/project/data/scenario1/bootstrap/trial_0347,4869,3474869
348,/project/data/scenario1/bootstrap/trial_0348,4869,3484869
349,/project/data/scenario1/bootstrap/trial_0349,4869,3494869
350,/project/data/scenario1/bootstrap/trial_0350,4869,3504869
351,/project/data/scenario1/bootstrap/trial_0351,4869,3514869
352,/project/data/scenario1/bootstrap/trial_0352,4869,3524869
353,/project/data/scenario1/bootstrap/trial_0353,4869,3534869
354,/project/data/scenario1/bootstrap/trial_0354,4869,3544869
355,/project/data/scenario1/bootstrap/trial_0355,4869,3554869
356,/project/data/scenario1/bootstrap/trial_0356,4869,3564869
357,/project/data/scenario1/bootstrap/trial_0357,4869,3574869
358,/project/data/scenario1/bootstrap/trial_0358,4869,3584869
359,/project/data/scenario1/bootstrap/trial_0359,4869,3594869
360,/project/data/scenario1/bootstrap/trial_0360,4869,3604869
361,/project/data/scenario1/bootstrap/trial_0361,4869,3614869
362,/project/data/scenario1/bootstrap/trial_0362,4869,3624869
