"iter","eval_type","client","objf","grad_lka","grad_lcl","grad_lvc","grad_CcPropSd","grad_pchol__omega_cl_v__etaLcl__etaLcl","grad_pchol__omega_cl_v__etaLcl__etaLvc","grad_pchol__omega_cl_v__etaLvc__etaLvc"
16,"gr","http://client2:8000",662.293,-4.3939,-32.1553,24.2765,13.3545,-2.4659,1.2347,1.5383
16,"gr","http://client3:8000",682.3292,3.8877,18.6372,-74.4908,13.8337,0.9343,0.65,-0.9176
17,"fn","http://client1:8000",889.3023,12.7264,9.3291,51.5454,-18.9601,0.3335,1.431,12.4866
17,"fn","http://client2:8000",662.3142,-5.5815,-32.4461,29.315,10.9323,-1.0017,1.3439,1.8608
17,"fn","http://client3:8000",681.8758,3.212,19.5327,-70.4451,11.96,2.7079,0.764,-0.8528
17,"gr","http://client1:8000",889.3023,12.7264,9.3291,51.5454,-18.9601,0.3335,1.431,12.4866
17,"gr","http://client2:8000",662.3142,-5.5815,-32.4461,29.315,10.9323,-1.0017,1.3439,1.8608
17,"gr","http://client3:8000",681.8758,3.212,19.5327,-70.4451,11.96,2.7079,0.764,-0.8528
18,"fn","http://client1:8000",888.2619,11.2056,6.3707,58.1707,-20.9973,5.0509,1.6168,13.6811
18,"fn","http://client2:8000",662.3922,-8.1968,-36.6748,37.0474,7.3983,2.5077,1.5194,2.462
18,"fn","http://client3:8000",681.5367,1.8026,19.5246,-64.9182,8.7316,6.8172,1.0048,-0.6824
18,"gr","http://client1:8000",888.2619,11.2056,6.3707,58.1707,-20.9973,5.0509,1.6168,13.6811
18,"gr","http://client2:8000",662.3922,-8.1968,-36.6748,37.0474,7.3983,2.5077,1.5194,2.462
18,"gr","http://client3:8000",681.5367,1.8026,19.5246,-64.9182,8.7316,6.8172,1.0048,-0.6824
19,"fn","http://client1:8000",887.0862,10.0052,29.4711,47.3126,-23.3167,9.2656,1.6759,14.9521
19,"fn","http://client2:8000",661.676,-10.9123,-19.6574,31.8587,3.7064,4.686,1.5839,3.1944
19,"fn","http://client3:8000",682.1123,0.7516,44.1921,-75.192,3.7907,10.9308,1.1513,-0.619
